2024-06-10T11:00:08.056Z [INFO] - Processing chunk: 41 / 50
2024-06-10T11:00:08.192Z [INFO] - Processing chunk: 42 / 50
2024-06-10T11:00:08.549Z [INFO] - Processing chunk: 43 / 50
2024-06-10T11:00:08.658Z [INFO] - Processing chunk: 44 / 50
2024-06-10T11:00:08.830Z [INFO] - Processing chunk: 45 / 50
2024-06-10T11:00:08.957Z [INFO] - Processing chunk: 46 / 50
2024-06-10T11:00:09.077Z [INFO] - Processing chunk: 47 / 50
2024-06-10T11:00:09.510Z [INFO] - Processing chunk: 48 / 50
2024-06-10T11:00:09.644Z [INFO] - Processing chunk: 49 / 50
2024-06-10T11:00:09.770Z [INFO] - Processing chunk: 50 / 50
2024-06-10T11:01:00.985Z [INFO] - Running scheduled task
2024-06-10T11:01:00.994Z [INFO] - Read data from file: C:\Users\soura\OneDrive\Desktop\masai_git\sourabh_rawat_ft31_244\unit-6\sprint-4\evaluation\MOCK_DATA.json
2024-06-10T11:01:01.014Z [INFO] - Parsed data successfully from file: C:\Users\soura\OneDrive\Desktop\masai_git\sourabh_rawat_ft31_244\unit-6\sprint-4\evaluation\MOCK_DATA.json
2024-06-10T11:01:01.017Z [INFO] - Processing chunk: 1 / 50
2024-06-10T11:01:01.137Z [INFO] - Processing chunk: 2 / 50
2024-06-10T11:01:01.279Z [INFO] - Processing chunk: 3 / 50
2024-06-10T11:01:01.444Z [INFO] - Processing chunk: 4 / 50
2024-06-10T11:01:01.582Z [INFO] - Processing chunk: 5 / 50
2024-06-10T11:01:01.727Z [INFO] - Processing chunk: 6 / 50
2024-06-10T11:01:02.152Z [INFO] - Processing chunk: 7 / 50
2024-06-10T11:01:02.375Z [INFO] - Processing chunk: 8 / 50
2024-06-10T11:01:02.495Z [INFO] - Processing chunk: 9 / 50
2024-06-10T11:01:02.609Z [INFO] - Processing chunk: 10 / 50
2024-06-10T11:01:02.731Z [INFO] - Processing chunk: 11 / 50
2024-06-10T11:01:03.123Z [INFO] - Processing chunk: 12 / 50
2024-06-10T11:01:03.251Z [INFO] - Processing chunk: 13 / 50
2024-06-10T11:01:03.384Z [INFO] - Processing chunk: 14 / 50
2024-06-10T11:01:03.527Z [INFO] - Processing chunk: 15 / 50
2024-06-10T11:01:03.668Z [INFO] - Processing chunk: 16 / 50
2024-06-10T11:01:04.085Z [INFO] - Processing chunk: 17 / 50
2024-06-10T11:01:04.188Z [INFO] - Processing chunk: 18 / 50
2024-06-10T11:01:04.298Z [INFO] - Processing chunk: 19 / 50
2024-06-10T11:01:04.492Z [INFO] - Processing chunk: 20 / 50
2024-06-10T11:01:04.837Z [INFO] - Processing chunk: 21 / 50
2024-06-10T11:01:05.078Z [INFO] - Processing chunk: 22 / 50
2024-06-10T11:01:05.230Z [INFO] - Processing chunk: 23 / 50
2024-06-10T11:01:05.354Z [INFO] - Processing chunk: 24 / 50
2024-06-10T11:01:05.480Z [INFO] - Processing chunk: 25 / 50
2024-06-10T11:01:05.631Z [INFO] - Processing chunk: 26 / 50
2024-06-10T11:01:06.083Z [INFO] - Processing chunk: 27 / 50
2024-06-10T11:01:06.183Z [INFO] - Processing chunk: 28 / 50
2024-06-10T11:01:06.277Z [INFO] - Processing chunk: 29 / 50
2024-06-10T11:01:06.394Z [INFO] - Processing chunk: 30 / 50
2024-06-10T11:01:06.533Z [INFO] - Processing chunk: 31 / 50
2024-06-10T11:01:07.080Z [INFO] - Processing chunk: 32 / 50
2024-06-10T11:01:07.491Z [INFO] - Processing chunk: 33 / 50
2024-06-10T11:01:07.844Z [INFO] - Processing chunk: 34 / 50
2024-06-10T11:01:08.265Z [INFO] - Processing chunk: 35 / 50
2024-06-10T11:01:08.561Z [INFO] - Processing chunk: 36 / 50
2024-06-10T11:01:08.826Z [INFO] - Processing chunk: 37 / 50
2024-06-10T11:01:09.219Z [INFO] - Processing chunk: 38 / 50
2024-06-10T11:01:09.518Z [INFO] - Processing chunk: 39 / 50
2024-06-10T11:01:09.669Z [INFO] - Processing chunk: 40 / 50
2024-06-10T11:01:09.799Z [INFO] - Processing chunk: 41 / 50
